24.71959,-82.98462,,,,"24.71959,-82.98462,#000000"
24.71949,-82.98454,,,,"24.71949,-82.98454,#000000"
24.65288,-83.0383,,,,"24.65288,-83.0383,#000000"
24.65306,-83.03838,,,,"24.65306,-83.03838,#000000"
24.65455,-83.04322,,,,"24.65455,-83.04322,#000000"
24.65461,-83.04329,,,,"24.65461,-83.04329,#000000"
24.65421,-83.06015,,,,"24.65421,-83.06015,#000000"
24.6541,-83.05986,,,,"24.6541,-83.05986,#000000"
24.66462,-83.0666,,,,"24.66462,-83.0666,#000000"
24.67758,-83.03923,,,,"24.67758,-83.03923,#000000"
24.70379,-83.0318,,,,"24.70379,-83.0318,#000000"
24.72071,-82.98568,,,,"24.72071,-82.98568,#000000"
24.67472,-82.99313,,,,"24.67472,-82.99313,#000000"
24.67477,-82.99315,,,,"24.67477,-82.99315,#000000"
24.69912,-83.01801,,,,"24.69912,-83.01801,#000000"
24.65258,-83.01095,,,,"24.65258,-83.01095,#000000"
24.68494,-82.99678,,,,"24.68494,-82.99678,#000000"
24.7004,-83.00635,,,,"24.7004,-83.00635,#000000"
24.70084,-83.00536,,,,"24.70084,-83.00536,#000000"
24.66562,-82.77357,,,,"24.66562,-82.77357,#000000"
24.71834,-82.84165,,,,"24.71834,-82.84165,#000000"
24.71839,-82.84185,,,,"24.71839,-82.84185,#000000"
24.58768,-82.90728,,,,"24.58768,-82.90728,#000000"
24.58754,-82.90735,,,,"24.58754,-82.90735,#000000"
24.62984,-82.83579,,,,"24.62984,-82.83579,#000000"
24.62995,-82.83599,,,,"24.62995,-82.83599,#000000"
24.57109,-82.9246,,,,"24.57109,-82.9246,#000000"
24.57108,-82.92471,,,,"24.57108,-82.92471,#000000"
24.57844,-82.88947,,,,"24.57844,-82.88947,#000000"
24.57837,-82.88938,,,,"24.57837,-82.88938,#000000"
24.56586,-82.93059,,,,"24.56586,-82.93059,#000000"
24.56598,-82.93073,,,,"24.56598,-82.93073,#000000"
24.5563,-82.96312,,,,"24.5563,-82.96312,#000000"
24.5848,-82.9707,,,,"24.5848,-82.9707,#000000"
24.58485,-82.97081,,,,"24.58485,-82.97081,#000000"
24.66329,-82.781,,,,"24.66329,-82.781,#000000"
24.67193,-82.82287,,,,"24.67193,-82.82287,#000000"
24.67926,-82.89917,,,,"24.67926,-82.89917,#000000"
24.60947,-82.94306,,,,"24.60947,-82.94306,#000000"
24.69699,-82.87111,,,,"24.69699,-82.87111,#000000"
24.629,-82.85839,,,,"24.629,-82.85839,#000000"
24.63887,-82.93205,,,,"24.63887,-82.93205,#000000"
24.63895,-82.93212,,,,"24.63895,-82.93212,#000000"
24.61122,-82.94103,,,,"24.61122,-82.94103,#000000"
24.61118,-82.94108,,,,"24.61118,-82.94108,#000000"
24.68389,-82.90627,,,,"24.68389,-82.90627,#000000"
24.7117,-82.90194,,,,"24.7117,-82.90194,#000000"
24.62491,-83.10263,,,,"24.62491,-83.10263,#000000"
24.65384,-83.10143,,,,"24.65384,-83.10143,#000000"
24.61973,-83.04198,,,,"24.61973,-83.04198,#000000"
24.62245,-83.06002,,,,"24.62245,-83.06002,#000000"
24.58157,-83.04985,,,,"24.58157,-83.04985,#000000"
