time,latitude,longitude,depth,species_nr,scientific_name,common_name,length_fish,number_seen
2014-07-27T00:00:00Z,24.62958,-82.9655,19.5,706,Haemulon sp.,grunt species,3,60
2014-07-27T00:00:00Z,24.62958,-82.9655,19.5,706,Haemulon sp.,grunt species,3,19
2014-07-24T00:00:00Z,24.63736,-82.90142,4.2,706,Haemulon sp.,grunt species,3,1
2014-06-08T00:00:00Z,24.65861,-82.93805,20.6,706,Haemulon sp.,grunt species,2,1
2014-06-08T00:00:00Z,24.65861,-82.93805,20.6,706,Haemulon sp.,grunt species,2,13
2014-06-08T00:00:00Z,24.65861,-82.93805,20.6,706,Haemulon sp.,grunt species,3,28
2014-06-08T00:00:00Z,24.65861,-82.93805,20.6,706,Haemulon sp.,grunt species,3,13
2014-06-08T00:00:00Z,24.65861,-82.93805,20.6,706,Haemulon sp.,grunt species,4,1
2014-07-27T00:00:00Z,24.66242,-82.9315,15.9,706,Haemulon sp.,grunt species,2,2
2014-07-27T00:00:00Z,24.66242,-82.9315,15.9,706,Haemulon sp.,grunt species,3,48
2014-07-27T00:00:00Z,24.66242,-82.9315,15.9,706,Haemulon sp.,grunt species,4,100
2014-07-27T00:00:00Z,24.66242,-82.9315,15.9,706,Haemulon sp.,grunt species,4,48
2014-07-27T00:00:00Z,24.66242,-82.9315,15.9,706,Haemulon sp.,grunt species,5,2
2014-06-08T00:00:00Z,24.66641,-82.92972,22.5,706,Haemulon sp.,grunt species,3,1
2014-06-08T00:00:00Z,24.66641,-82.92972,22.5,706,Haemulon sp.,grunt species,3,24
2014-06-08T00:00:00Z,24.66641,-82.92972,22.5,706,Haemulon sp.,grunt species,4,50
2014-06-08T00:00:00Z,24.66641,-82.92972,22.5,706,Haemulon sp.,grunt species,4,24
2014-06-08T00:00:00Z,24.66641,-82.92972,22.5,706,Haemulon sp.,grunt species,5,1
2014-07-24T00:00:00Z,24.68163,-82.88594,14.7,706,Haemulon sp.,grunt species,2,45
2014-07-24T00:00:00Z,24.68163,-82.88594,14.7,706,Haemulon sp.,grunt species,2,14
2014-06-03T00:00:00Z,24.69088,-82.88586,10.1,706,Haemulon sp.,grunt species,3,168
2014-06-03T00:00:00Z,24.69088,-82.88586,10.1,706,Haemulon sp.,grunt species,3,54
2014-06-03T00:00:00Z,24.69088,-82.88586,10.1,706,Haemulon sp.,grunt species,4,2
2014-06-06T00:00:00Z,24.62506,-82.90051,9,706,Haemulon sp.,grunt species,13,3
2014-06-06T00:00:00Z,24.6288,-82.89712,8.7,706,Haemulon sp.,grunt species,4,18
2014-06-06T00:00:00Z,24.6288,-82.89712,8.7,706,Haemulon sp.,grunt species,5,37
2014-06-06T00:00:00Z,24.6288,-82.89712,8.7,706,Haemulon sp.,grunt species,6,18
2014-06-06T00:00:00Z,24.62872,-82.89717,6.9,706,Haemulon sp.,grunt species,3,3
2014-07-24T00:00:00Z,24.64051,-82.89822,3,706,Haemulon sp.,grunt species,7,13
2014-07-24T00:00:00Z,24.64051,-82.89822,3,706,Haemulon sp.,grunt species,7,3
2014-06-02T00:00:00Z,24.72624,-82.80516,17.6,706,Haemulon sp.,grunt species,5,2
2014-07-21T00:00:00Z,24.60464,-82.9418,14.6,706,Haemulon sp.,grunt species,10,2
2014-07-21T00:00:00Z,24.60922,-82.94503,13.4,706,Haemulon sp.,grunt species,5,7
2014-07-21T00:00:00Z,24.60922,-82.94503,13.4,706,Haemulon sp.,grunt species,6,15
2014-07-21T00:00:00Z,24.60922,-82.94503,13.4,706,Haemulon sp.,grunt species,7,7
2014-07-21T00:00:00Z,24.60917,-82.94501,14.5,706,Haemulon sp.,grunt species,4,2
2014-07-27T00:00:00Z,24.61112,-82.96069,14.6,706,Haemulon sp.,grunt species,5,5
2014-07-27T00:00:00Z,24.61112,-82.96069,14.6,706,Haemulon sp.,grunt species,6,18
2014-07-27T00:00:00Z,24.61222,-82.96355,14.3,706,Haemulon sp.,grunt species,3,2
2014-07-27T00:00:00Z,24.6121,-82.96346,14,706,Haemulon sp.,grunt species,2,5
2014-07-27T00:00:00Z,24.6121,-82.96346,14,706,Haemulon sp.,grunt species,3,18
2014-07-27T00:00:00Z,24.61413,-82.95737,10.6,706,Haemulon sp.,grunt species,2,5
2014-07-27T00:00:00Z,24.61413,-82.95737,10.6,706,Haemulon sp.,grunt species,3,18
2014-07-24T00:00:00Z,24.63408,-82.90737,9.9,706,Haemulon sp.,grunt species,5,5
2014-07-24T00:00:00Z,24.63408,-82.90737,9.9,706,Haemulon sp.,grunt species,6,11
2014-07-24T00:00:00Z,24.63408,-82.90737,9.9,706,Haemulon sp.,grunt species,7,5
2014-07-24T00:00:00Z,24.6673,-82.87282,7.5,706,Haemulon sp.,grunt species,9,2
2014-07-24T00:00:00Z,24.66907,-82.87379,6.3,706,Haemulon sp.,grunt species,5,3
2014-07-24T00:00:00Z,24.68007,-82.88527,13.4,706,Haemulon sp.,grunt species,5,10
2014-07-24T00:00:00Z,24.68007,-82.88527,13.4,706,Haemulon sp.,grunt species,6,22
2014-07-24T00:00:00Z,24.68007,-82.88527,13.4,706,Haemulon sp.,grunt species,6,10
2014-07-24T00:00:00Z,24.68007,-82.88527,13.4,706,Haemulon sp.,grunt species,11,8
2014-07-24T00:00:00Z,24.68007,-82.88527,13.4,706,Haemulon sp.,grunt species,12,18
2014-07-24T00:00:00Z,24.68007,-82.88527,13.4,706,Haemulon sp.,grunt species,13,8
2014-07-24T00:00:00Z,24.68008,-82.88518,11.2,706,Haemulon sp.,grunt species,2,106
2014-07-24T00:00:00Z,24.68008,-82.88518,11.2,706,Haemulon sp.,grunt species,2,64
2014-07-24T00:00:00Z,24.68008,-82.88518,11.2,706,Haemulon sp.,grunt species,3,184
2014-07-24T00:00:00Z,24.68008,-82.88518,11.2,706,Haemulon sp.,grunt species,3,4
2014-07-24T00:00:00Z,24.68008,-82.88518,11.2,706,Haemulon sp.,grunt species,4,62
2014-07-24T00:00:00Z,24.68008,-82.88518,11.2,706,Haemulon sp.,grunt species,5,2
2014-06-03T00:00:00Z,24.6833,-82.89718,5.7,706,Haemulon sp.,grunt species,3,1
2014-07-24T00:00:00Z,24.69699,-82.86404,12.4,706,Haemulon sp.,grunt species,2,4
2014-07-24T00:00:00Z,24.69699,-82.86404,12.4,706,Haemulon sp.,grunt species,3,10
2014-07-24T00:00:00Z,24.69699,-82.86404,12.4,706,Haemulon sp.,grunt species,3,4
2014-07-24T00:00:00Z,24.69712,-82.86396,9.5,706,Haemulon sp.,grunt species,3,1
2014-07-24T00:00:00Z,24.69712,-82.86396,9.5,706,Haemulon sp.,grunt species,4,6
